"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2017";"2018";"2020";"2009-2020";"Total since 2005"
"AT";"Constantin Film (AT)";"23/09/2005";"153 856";"3 748";"";"";"";"";"";"";"";"";"";"";"";"";"";"157 604"
"BE";"Lumiere Productie (BE)";"28/12/2005";"";"13 764";"477";"";"";"";"";"";"";"";"";"";"";"";"";"14 241"
"CH";"Rialto Film (CH)";"15/09/2005";"164 305";"867";"";"4";"";"";"";"";"";"";"";"";"";"";"";"165 176"
"CZ";"Bontonfilm";"03/08/2006";"";"42 218";"7 507";"507";"55";"19";"59";"337";"69";"51";"14";"";"";"";"604";"50 836"
"DE";"Constantin Film (DE)";"15/09/2005";"2 156 934";"82 340";"";"";"";"";"";"";"";"13";"";"20";"79";"18";"130";"2 239 404"
"DK";"SF Film (DK)";"12/05/2006";"";"30 319";"635";"";"";"";"";"";"";"";"";"";"";"";"";"30 954"
"ES";"Festival Films";"15/11/2006";"";"";"76 680";"670";"";"";"";"";"";"";"";"";"";"";"";"77 350"
"FI";"SF Film Finland [FS Film]";"05/05/2006";"";"9 391";"2 045";"113";"";"";"";"";"";"";"";"";"";"";"";"11 549"
"HU";"Forum-Hungary";"27/04/2006";"";"14 396";"";"";"";"";"";"";"";"";"";"";"";"";"";"14 396"
"LU";"";"";"8 700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 700"
"NL";"Benelux Film Distribution";"23/03/2006";"";"66 911";"2 657";"118";"";"62";"314";"";"";"";"";"";"";"";"376";"70 062"
"PL";"Monolith/SPI";"23/06/2006";"";"38 242";"560";"232";"";"";"";"";"";"";"";"";"";"";"";"39 034"
"RO";"Romaniafilm-Prorom";"14/07/2006";"";"3 313";"682";"";"";"";"";"";"";"";"";"";"";"";"";"3 995"
"SE";"Svensk Filmindustri";"28/04/2006";"";"11 915";"182";"";"";"";"";"";"";"";"";"";"";"";"";"12 097"
"SI";"Blitz Film & Video Distribution (SI)";"24/08/2006";"";"27 950";"1 086";"";"";"";"";"";"";"";"";"";"";"";"";"29 036"
"SK";"Tatra Film";"02/11/2006";"";"839";"432";"111";"";"";"";"";"";"";"";"";"";"";"";"1 382"
"EUR EU";"";"";"2 319 490";"345 346";"92 943";"1 751";"55";"81";"373";"337";"69";"64";"14";"20";"79";"18";"1 110";"2 760 640"
"EUR OBS";"";"";"2 483 795";"346 213";"92 943";"1 755";"55";"81";"373";"337";"69";"64";"14";"20";"79";"18";"1 110";"2 925 816"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24237"
